,plsnt,attnt,snst,aptit,polarity_intense
✊,-0.06,0.068,-0.08,-0.07,-0.047
⚡,0.3645,0.46950000000000003,-0.02,0.0825,0.299
📿,0.023,0.295,-0.05,0.283,0.184
🌲,0.808,-0.365,0.0,0.0,0.391
🚒,0.5115,0.3935,-0.035,-0.03,0.28
😌,0.39749999999999996,-0.22999999999999998,-0.05,0.4465,0.341
🤗,0.719,-0.58,0.0,0.739,0.679
🎄,0.856,0.0,0.0,0.0,0.285
📩,0.058499999999999996,-0.02,0.0,0.0245,0.034
🍖,0.5195000000000001,0.4835,-0.045,0.0,0.319
🏳,-0.24850000000000003,0.034,0.2555,-0.225,-0.232
🦇,0.723,0.717,0.0,0.0,0.48
💫,0.0,0.0,-0.73,-0.79,-0.507
🔡,0.0,0.706,0.0,0.84,0.515
🍍,0.0,0.064,-0.06,0.085,0.03
👃🏼,0.33266666666666667,0.311,0.007,0.027666666666666662,0.221
🥙,0.145,0.062000000000000006,0.021,0.172,0.119
🚈,0.0905,0.0485,-0.04,0.0,0.033
🔋,0.045,0.0,0.0,0.051,0.032
😬,0.719,-0.58,0.0,0.739,0.679
♨️,0.0,0.0,-0.93,-0.77,-0.567
🌥,-0.4355,0.02125,-0.055749999999999994,-0.13324999999999998,-0.201
🐎,0.0,0.0,0.0,0.071,0.024
🕺,0.292,-0.39,0.0,0.23800000000000002,0.307
👨‍👨‍👧,0.00825,0.04975,-0.0425,0.010499999999999995,0.009
🔪,0.493,0.4595,0.0,0.0,0.318
✊🏽,0.22999999999999998,0.24325,-0.01475,0.013999999999999999,0.158
🚣🏾,0.443,0.47450000000000003,-0.01475,0.0115,0.305
🙍🏿,0.2855,0.4265,-0.21725,-0.015,0.16
🌼,0.0,0.07,0.0,0.071,0.047
🔙,0.059,0.0,0.0,0.049,0.036
✋🏿,0.276,0.057999999999999996,-0.21725,0.11825000000000001,0.078
🎮,-0.485,0.1655,0.22850000000000004,-0.283,-0.277
⚪,-0.275,0.4715,0.2805,-0.255,-0.113
🖤,-0.1755,0.165,0.35250000000000004,-0.1985,-0.187
